EnsemblId,gene_name,biotype,logFC,FDR,AveExpr,P.value
ENSG00000010610,CD4,protein_coding,1.301839099,0.000265607,1.64618856,6.10E-07
ENSG00000092871,RFFL,protein_coding,0.410792415,0.000272935,5.427531587,6.62E-07
ENSG00000175305,CCNE2,protein_coding,-0.911100762,0.000272935,1.081558351,6.59E-07
ENSG00000148942,SLC5A12,protein_coding,1.169043684,0.000309323,0.265425221,7.82E-07
ENSG00000164047,CAMP,protein_coding,3.113336164,0.000309323,5.204030936,8.11E-07
ENSG00000164197,RNF180,protein_coding,0.805943493,0.000309323,6.512058517,8.01E-07
ENSG00000156384,SFR1,protein_coding,0.373605485,0.000316592,3.666327924,8.51E-07
ENSG00000265763,ZNF488,protein_coding,-0.865072002,0.000345933,1.074204853,9.53E-07
ENSG00000057294,PKP2,protein_coding,0.68722439,0.00036034,4.936726646,1.02E-06
ENSG00000164794,KCNV1,protein_coding,-1.491521242,0.000367916,2.103398285,1.06E-06
ENSG00000180901,KCTD2,protein_coding,0.276069445,0.000373941,5.909325988,1.10E-06
ENSG00000047365,ARAP2,protein_coding,2.235002005,0.000376454,1.447841099,1.14E-06
ENSG00000137198,GMPR,protein_coding,1.048584372,0.000381024,6.077005287,1.18E-06
ENSG00000231205,ZNF826P,transcribed_unprocessed_pseudogene,1.553341801,0.000381024,0.680123697,1.20E-06
ENSG00000134802,SLC43A3,protein_coding,1.20816189,0.00043681,1.822772325,1.40E-06
ENSG00000225663,MCRIP1,protein_coding,0.442382774,0.00043681,4.63369576,1.43E-06
ENSG00000179222,MAGED1,protein_coding,0.61472425,0.000440347,7.8129004,1.47E-06
ENSG00000140403,DNAJA4,protein_coding,0.902815259,0.000447419,3.55773713,1.56E-06
ENSG00000182010,RTKN2,protein_coding,-1.297647321,0.000447419,3.571676353,1.55E-06
ENSG00000103472,RRN3P2,lncRNA,0.863191657,0.000454855,0.788750444,1.61E-06
ENSG00000244486,SCARF2,protein_coding,1.245935994,0.000467894,1.920261176,1.69E-06
ENSG00000140450,ARRDC4,protein_coding,1.614830832,0.000476368,5.235332003,1.75E-06
ENSG00000151062,CACNA2D4,protein_coding,1.099020554,0.00052961,0.487185169,1.98E-06
ENSG00000151276,MAGI1,protein_coding,-0.294757242,0.000529978,7.492231526,2.02E-06
ENSG00000121039,RDH10,protein_coding,1.076839748,0.000549741,5.164769646,2.13E-06
ENSG00000108239,TBC1D12,protein_coding,-0.328940738,0.000618017,4.580565095,2.43E-06
ENSG00000072163,LIMS2,protein_coding,1.607077144,0.000628057,1.431009962,2.51E-06
ENSG00000171819,ANGPTL7,protein_coding,2.138783396,0.000692784,5.611063354,2.82E-06
ENSG00000100994,PYGB,protein_coding,0.521036973,0.000696997,7.16032781,2.88E-06
ENSG00000179277,MEIS3P1,processed_pseudogene,0.485231115,0.000700557,3.193910194,2.94E-06
ENSG00000198075,SULT1C4,protein_coding,1.681121386,0.000721412,1.126759782,3.08E-06
ENSG00000110975,SYT10,protein_coding,-1.468441974,0.000727004,3.037860573,3.15E-06
ENSG00000232229,LINC00865,lncRNA,1.403738338,0.000768078,2.749488096,3.37E-06
ENSG00000158270,COLEC12,protein_coding,1.051284487,0.000772586,8.366056074,3.50E-06
ENSG00000206337,HCP5,lncRNA,2.47618961,0.000772586,1.84784357,3.47E-06
ENSG00000255248,MIR100HG,lncRNA,-0.476464144,0.000818301,7.105197524,3.76E-06
ENSG00000185499,MUC1,protein_coding,1.182139238,0.000833294,1.972611479,3.88E-06
ENSG00000183023,SLC8A1,protein_coding,1.894133145,0.000838178,0.691678046,3.96E-06
ENSG00000008735,MAPK8IP2,protein_coding,0.629179394,0.000895668,1.184916637,4.29E-06
ENSG00000144843,ADPRH,protein_coding,0.308136888,0.000917139,3.74458013,4.51E-06
ENSG00000153339,TRAPPC8,protein_coding,-0.193354398,0.000917139,6.092862987,4.45E-06
ENSG00000064655,EYA2,protein_coding,2.248326188,0.0009214,1.521541458,5.07E-06
ENSG00000101443,WFDC2,protein_coding,1.282309284,0.0009214,0.63531003,4.87E-06
ENSG00000105641,SLC5A5,protein_coding,-1.437886887,0.0009214,0.162078492,5.00E-06
ENSG00000115808,STRN,protein_coding,-0.192300354,0.0009214,6.148501436,4.78E-06
ENSG00000121413,ZSCAN18,protein_coding,0.226874195,0.0009214,5.798157509,4.84E-06
ENSG00000135272,MDFIC,protein_coding,0.345537271,0.0009214,5.172571726,5.08E-06
ENSG00000142733,MAP3K6,protein_coding,0.611510279,0.0009214,5.404914205,5.02E-06
ENSG00000150556,LYPD6B,protein_coding,-1.056889435,0.0009214,2.799384858,5.04E-06
ENSG00000196090,PTPRT,protein_coding,-0.66970961,0.0009214,3.850327299,4.95E-06
ENSG00000131378,RFTN1,protein_coding,1.439780629,0.000931215,4.369960115,5.19E-06
ENSG00000139209,SLC38A4,protein_coding,-1.088883137,0.000940537,4.638263652,5.41E-06
ENSG00000143970,ASXL2,protein_coding,-0.219689711,0.000940537,6.490035357,5.43E-06
ENSG00000221866,PLXNA4,protein_coding,3.54901781,0.000940537,2.754400117,5.31E-06
ENSG00000101391,CDK5RAP1,protein_coding,-0.259719343,0.000943938,4.225046214,5.51E-06
ENSG00000054983,GALC,protein_coding,0.925014776,0.000946014,5.502027272,5.65E-06
ENSG00000110195,FOLR1,protein_coding,-0.75338093,0.000946014,4.435245721,5.64E-06
ENSG00000078124,ACER3,protein_coding,-0.472360413,0.000989853,6.315255223,6.04E-06
ENSG00000279631,ENSG00000279631,TEC,0.780068286,0.000989853,0.878149528,5.98E-06
ENSG00000063245,EPN1,protein_coding,0.183927362,0.000998618,6.226325955,6.16E-06
ENSG00000100644,HIF1A,protein_coding,0.422770401,0.000998618,6.854532132,6.22E-06
ENSG00000255856,ENSG00000255856,lncRNA,-0.578211638,0.001087585,0.336076942,6.85E-06
ENSG00000178162,FAR2P2,transcribed_unprocessed_pseudogene,1.549129676,0.001172465,1.495115166,7.46E-06
ENSG00000154928,EPHB1,protein_coding,-1.230143861,0.001245082,2.768609161,8.00E-06
ENSG00000156687,UNC5D,protein_coding,-1.539919056,0.001281304,2.559784582,8.32E-06
ENSG00000104237,RP1,protein_coding,1.4560705,0.001312247,5.265936051,8.61E-06
ENSG00000064393,HIPK2,protein_coding,0.322277887,0.001337964,8.657659967,9.16E-06
ENSG00000133805,AMPD3,protein_coding,1.223038197,0.001337964,3.485731024,9.10E-06
ENSG00000156395,SORCS3,protein_coding,-2.709107613,0.001337964,2.825462677,9.24E-06
ENSG00000165312,OTUD1,protein_coding,-0.421506527,0.001337964,5.583164584,9.30E-06
ENSG00000188013,MEIS3P2,processed_pseudogene,0.800145433,0.001337964,1.229419784,9.07E-06
ENSG00000188833,ENTPD8,protein_coding,-1.137764218,0.001337964,1.030270046,9.12E-06
ENSG00000120693,SMAD9,protein_coding,1.095767512,0.001369552,5.056373715,9.75E-06
ENSG00000144681,STAC,protein_coding,-0.623278095,0.001369552,4.2322995,9.78E-06
ENSG00000170340,B3GNT2,protein_coding,-0.274820108,0.001369552,5.061328239,9.88E-06
ENSG00000273259,ENSG00000273259,protein_coding,3.686010642,0.001369552,3.69976316,9.84E-06
ENSG00000159248,GJD2,protein_coding,2.822271807,0.001378569,3.178829128,1.00E-05
ENSG00000172824,CES4A,protein_coding,0.961547247,0.001392194,1.09783812,1.02E-05
ENSG00000126005,MMP24OS,protein_coding,0.384396366,0.001414906,4.640261657,1.06E-05
ENSG00000168621,GDNF,protein_coding,2.523488806,0.001414906,1.559917436,1.06E-05
ENSG00000086159,AQP6,protein_coding,-0.871465814,0.001497311,2.922048918,1.13E-05
ENSG00000019582,CD74,protein_coding,2.594914164,0.001512603,4.959592977,1.16E-05
ENSG00000071575,TRIB2,protein_coding,-0.846789703,0.001512603,5.86293471,1.15E-05
ENSG00000157985,AGAP1,protein_coding,-0.386946315,0.001515342,7.040431908,1.17E-05
ENSG00000279689,ENSG00000279689,TEC,-0.462582307,0.001529688,4.014516957,1.19E-05
ENSG00000182492,BGN,protein_coding,2.19054802,0.001536386,4.844909098,1.21E-05
ENSG00000005020,SKAP2,protein_coding,-0.393553473,0.001546855,5.569085923,1.27E-05
ENSG00000121481,RNF2,protein_coding,-0.146745892,0.001546855,5.337003731,1.27E-05
ENSG00000130203,APOE,protein_coding,2.27156148,0.001546855,2.382295704,1.23E-05
ENSG00000242715,CCDC169,protein_coding,0.89665271,0.001546855,2.842748281,1.25E-05
ENSG00000265972,TXNIP,protein_coding,1.217767991,0.001546855,8.216609522,1.26E-05
ENSG00000133794,ARNTL,protein_coding,0.620746546,0.001611673,3.59576352,1.33E-05
ENSG00000100842,EFS,protein_coding,1.984046704,0.001613778,3.14860363,1.36E-05
ENSG00000145832,SLC25A48,protein_coding,-0.725327243,0.001613778,5.543459861,1.35E-05
ENSG00000261617,LINC02177,lncRNA,-1.050884587,0.001613778,3.250877367,1.37E-05
ENSG00000127220,ABHD8,protein_coding,-0.363967428,0.001617232,4.411169955,1.38E-05
ENSG00000205403,CFI,protein_coding,1.256958026,0.001617232,4.575686592,1.39E-05
ENSG00000103316,CRYM,protein_coding,1.145066103,0.001831646,3.545730219,1.59E-05
ENSG00000167306,MYO5B,protein_coding,-0.446797029,0.001834321,8.882127626,1.60E-05
ENSG00000237949,LINC00844,lncRNA,1.360035307,0.001839566,1.340595275,1.62E-05
ENSG00000054967,RELT,protein_coding,1.116068932,0.00186169,3.012029051,1.65E-05
ENSG00000225889,ENSG00000225889,lncRNA,-0.743170393,0.001947653,2.384722632,1.74E-05
ENSG00000080166,DCT,protein_coding,3.789253899,0.002002799,5.049896279,1.81E-05
ENSG00000100053,CRYBB3,protein_coding,-0.78321322,0.002002799,4.326176675,1.85E-05
ENSG00000112319,EYA4,protein_coding,-0.376000332,0.002002799,6.650883427,1.85E-05
ENSG00000182732,RGS6,protein_coding,-0.648483276,0.002002799,6.169857941,1.82E-05
ENSG00000196167,COLCA1,lncRNA,0.774657472,0.002002799,3.921738577,1.84E-05
ENSG00000102104,RS1,protein_coding,-0.546167463,0.00201485,2.917662176,1.94E-05
ENSG00000108821,COL1A1,protein_coding,4.013525592,0.00201485,5.035643472,1.92E-05
ENSG00000139985,ADAM21,protein_coding,-0.704787261,0.00201485,1.351478567,1.94E-05
ENSG00000184916,JAG2,protein_coding,-0.666639513,0.00201485,4.950451176,1.94E-05
ENSG00000235335,B3GALT1-AS1,lncRNA,-0.606676137,0.00201485,1.826042203,1.91E-05
ENSG00000272449,ENSG00000272449,lncRNA,-0.875258678,0.00201485,0.702289775,1.91E-05
ENSG00000162639,HENMT1,protein_coding,1.110436261,0.00201876,0.360899998,1.96E-05
ENSG00000110080,ST3GAL4,protein_coding,0.335417,0.002021534,5.360249001,1.98E-05
ENSG00000054690,PLEKHH1,protein_coding,0.687614912,0.002045227,4.359692027,2.01E-05
ENSG00000035681,NSMAF,protein_coding,0.264316115,0.002070695,5.096909568,2.05E-05
ENSG00000102172,SMS,protein_coding,0.36439178,0.002102167,5.299163837,2.12E-05
ENSG00000154640,BTG3,protein_coding,1.121026079,0.002102167,0.45140719,2.12E-05
ENSG00000171310,CHST11,protein_coding,2.049236163,0.002102167,1.386666625,2.12E-05
ENSG00000241839,PLEKHO2,protein_coding,0.488825205,0.002158281,3.319767866,2.19E-05
ENSG00000231007,CDC20P1,processed_pseudogene,-0.776382723,0.002270623,1.224523194,2.32E-05
ENSG00000064651,SLC12A2,protein_coding,-0.518722307,0.00233082,7.849182783,2.42E-05
ENSG00000166482,MFAP4,protein_coding,2.153185506,0.00233082,1.837599243,2.42E-05
ENSG00000183291,SELENOF,protein_coding,0.167530294,0.00233082,5.859432347,2.43E-05
ENSG00000160326,SLC2A6,protein_coding,-0.834689783,0.002344197,4.944324423,2.46E-05
ENSG00000185885,IFITM1,protein_coding,2.278828929,0.002377481,2.716379716,2.51E-05
ENSG00000110492,MDK,protein_coding,2.363440337,0.002395226,2.570849208,2.54E-05
ENSG00000148082,SHC3,protein_coding,-0.69294511,0.002437727,3.64569957,2.62E-05
ENSG00000164764,SBSPON,protein_coding,1.495552296,0.002437727,5.807040286,2.62E-05
ENSG00000104884,ERCC2,protein_coding,-0.249117929,0.002463901,5.674356161,2.67E-05
ENSG00000128923,MINDY2,protein_coding,-0.273996462,0.002490916,7.304504516,2.73E-05
ENSG00000232759,ENSG00000232759,lncRNA,-0.726654178,0.002490916,1.369308781,2.71E-05
ENSG00000101940,WDR13,protein_coding,0.174812838,0.002536607,5.820988223,2.83E-05
ENSG00000113212,PCDHB7,protein_coding,0.867359433,0.002536607,2.17239969,2.86E-05
ENSG00000165219,GAPVD1,protein_coding,-0.148901587,0.002536607,6.477613398,2.85E-05
ENSG00000185432,METTL7A,protein_coding,0.78996848,0.002536607,8.767553886,2.85E-05
ENSG00000226237,GAS1RR,lncRNA,-0.616423712,0.002536607,2.697507535,2.84E-05
ENSG00000147689,FAM83A,protein_coding,1.489869848,0.002572045,7.632060592,2.92E-05
ENSG00000196724,ZNF418,protein_coding,0.440256644,0.002580067,3.520309433,2.94E-05
ENSG00000131370,SH3BP5,protein_coding,1.772631511,0.00258369,3.274172445,2.98E-05
ENSG00000164054,SHISA5,protein_coding,0.386074857,0.00258369,5.835322579,2.98E-05
ENSG00000033178,UBA6,protein_coding,-0.212493644,0.002635023,5.817710309,3.09E-05
ENSG00000100605,ITPK1,protein_coding,0.285272665,0.002635023,6.24845206,3.13E-05
ENSG00000106624,AEBP1,protein_coding,3.2045916,0.002635023,2.45581221,3.10E-05
ENSG00000164048,ZNF589,protein_coding,0.76035958,0.002635023,6.226828803,3.09E-05
ENSG00000196136,SERPINA3,protein_coding,3.576449565,0.002635023,3.380361148,3.13E-05
ENSG00000070961,ATP2B1,protein_coding,-0.493522803,0.002674156,6.070002905,3.19E-05
ENSG00000134982,APC,protein_coding,-0.234738545,0.002716598,7.202004066,3.26E-05
ENSG00000108947,EFNB3,protein_coding,-0.399659993,0.002746238,5.301564149,3.31E-05
ENSG00000204287,HLA-DRA,protein_coding,2.893483949,0.002839246,3.021753736,3.44E-05
ENSG00000181634,TNFSF15,protein_coding,-1.142842451,0.002852023,6.491902046,3.48E-05
ENSG00000145990,GFOD1,protein_coding,0.772564466,0.002867035,5.607894801,3.52E-05
ENSG00000168398,BDKRB2,protein_coding,1.408072182,0.00287906,4.371213954,3.55E-05
ENSG00000136383,ALPK3,protein_coding,1.120638809,0.002880408,2.251461332,3.57E-05
ENSG00000007944,MYLIP,protein_coding,0.600969788,0.002903194,3.487572474,3.64E-05
ENSG00000108433,GOSR2,protein_coding,0.291651673,0.002903194,5.270044965,3.62E-05
ENSG00000154553,PDLIM3,protein_coding,2.822090487,0.002946651,4.028098132,3.75E-05
ENSG00000177614,PGBD5,protein_coding,-0.843201023,0.002946651,2.847995477,3.72E-05
ENSG00000270696,ENSG00000270696,lncRNA,-0.288799367,0.002946651,3.555275146,3.75E-05
ENSG00000132470,ITGB4,protein_coding,0.574253006,0.00295132,7.211092593,3.79E-05
ENSG00000136436,CALCOCO2,protein_coding,0.227163904,0.00295132,6.30729232,3.79E-05
ENSG00000116663,FBXO6,protein_coding,0.444603828,0.003007697,2.039785879,3.89E-05
ENSG00000139629,GALNT6,protein_coding,2.008276342,0.003098754,2.68917216,4.02E-05
ENSG00000163898,LIPH,protein_coding,-1.050585701,0.003117335,1.519440164,4.07E-05
ENSG00000139725,RHOF,protein_coding,-0.369468308,0.003200856,4.923389458,4.24E-05
ENSG00000167037,SGSM1,protein_coding,-0.55576041,0.003200856,3.597804731,4.24E-05
ENSG00000168490,PHYHIP,protein_coding,1.250609303,0.003200856,0.529862049,4.21E-05
ENSG00000120256,LRP11,protein_coding,-0.384092476,0.003234601,8.591335334,4.37E-05
ENSG00000121316,PLBD1,protein_coding,0.77585804,0.003234601,2.967747056,4.34E-05
ENSG00000152767,FARP1,protein_coding,0.754682384,0.003234601,4.305590221,4.32E-05
ENSG00000214491,SEC14L6,protein_coding,2.115583861,0.003234601,2.257881453,4.36E-05
ENSG00000109743,BST1,protein_coding,0.833503221,0.003261472,1.170428701,4.43E-05
ENSG00000152284,TCF7L1,protein_coding,-0.266983575,0.003278742,5.580095862,4.51E-05
ENSG00000172159,FRMD3,protein_coding,-1.059640302,0.003278742,3.881949541,4.52E-05
ENSG00000241158,ADAMTS9-AS1,lncRNA,0.941545448,0.003278742,4.788266277,4.48E-05
ENSG00000167703,SLC43A2,protein_coding,1.250227999,0.003319104,2.881283008,4.59E-05
ENSG00000119681,LTBP2,protein_coding,1.395952494,0.003357689,8.437217268,4.67E-05
ENSG00000141068,KSR1,protein_coding,0.419082879,0.003380655,5.700394541,4.81E-05
ENSG00000147872,PLIN2,protein_coding,0.447927066,0.003380655,4.163928008,4.77E-05
ENSG00000181396,OGFOD3,protein_coding,0.168557178,0.003380655,5.333020422,4.81E-05
ENSG00000248596,ENSG00000248596,lncRNA,1.05928026,0.003380655,1.686986076,4.81E-05
ENSG00000271105,SCML2P2,processed_pseudogene,-0.557633263,0.003380655,0.865354686,4.73E-05
ENSG00000100599,RIN3,protein_coding,1.478550672,0.00339788,0.762902423,4.99E-05
ENSG00000105278,ZFR2,protein_coding,-0.856630983,0.00339788,2.093802067,4.96E-05
ENSG00000121005,CRISPLD1,protein_coding,1.198680686,0.00339788,1.654872433,4.97E-05
ENSG00000130881,LRP3,protein_coding,1.548619217,0.00339788,1.273354629,4.97E-05
ENSG00000131446,MGAT1,protein_coding,0.212576747,0.00339788,6.621652193,4.95E-05
ENSG00000135378,PRRG4,protein_coding,1.259444037,0.00339788,1.017707817,4.98E-05
ENSG00000170775,GPR37,protein_coding,1.632330714,0.00339788,3.101525282,4.89E-05
ENSG00000026508,CD44,protein_coding,2.186300891,0.003662348,4.037193308,5.43E-05
ENSG00000140464,PML,protein_coding,0.426532767,0.003662348,5.502689805,5.42E-05
ENSG00000109610,SOD3,protein_coding,-0.788638134,0.003671098,3.771604133,5.47E-05
ENSG00000067715,SYT1,protein_coding,-0.908150238,0.003677415,4.122071145,5.51E-05
ENSG00000110723,EXPH5,protein_coding,-0.593174507,0.003677415,8.008170092,5.52E-05
ENSG00000196262,PPIA,protein_coding,-0.32884683,0.003679133,9.061705616,5.55E-05
ENSG00000136059,VILL,protein_coding,0.46036424,0.003717354,2.615092139,5.66E-05
ENSG00000256043,CTSO,protein_coding,0.548363378,0.003717354,5.076667434,5.64E-05
ENSG00000155744,FAM126B,protein_coding,-0.275207522,0.003749349,6.032019698,5.73E-05
ENSG00000074696,HACD3,protein_coding,-0.16159673,0.003836619,6.254044604,5.89E-05
ENSG00000168961,LGALS9,protein_coding,0.882972242,0.00383934,1.803290678,5.92E-05
ENSG00000167549,CORO6,protein_coding,1.571031767,0.003880706,2.664026084,6.06E-05
ENSG00000175895,PLEKHF2,protein_coding,-0.501863189,0.003880706,7.001902334,6.04E-05
ENSG00000212916,MAP10,protein_coding,0.87890757,0.003880706,1.071266428,6.05E-05
ENSG00000147509,RGS20,protein_coding,-0.861602149,0.003894388,1.727642166,6.10E-05
ENSG00000247134,ENSG00000247134,lncRNA,-0.294047048,0.003917912,2.601879679,6.17E-05
ENSG00000129596,CDO1,protein_coding,-0.627234404,0.003950089,7.154276622,6.27E-05
ENSG00000137573,SULF1,protein_coding,0.828218682,0.003950089,9.775744394,6.26E-05
ENSG00000161395,PGAP3,protein_coding,0.306793602,0.003950089,4.529103783,6.34E-05
ENSG00000177034,MTX3,protein_coding,-0.169707379,0.003950089,6.140102362,6.40E-05
ENSG00000188001,TPRG1,protein_coding,0.646830513,0.003950089,1.150960077,6.36E-05
ENSG00000197157,SND1,protein_coding,0.307180453,0.003950089,6.072824145,6.37E-05
ENSG00000272768,ENSG00000272768,lncRNA,0.497846151,0.003950089,0.592715597,6.38E-05
ENSG00000080546,SESN1,protein_coding,-0.422295086,0.003980938,5.154535127,6.47E-05
ENSG00000071794,HLTF,protein_coding,-0.205122202,0.003981955,6.687363445,6.51E-05
ENSG00000126583,PRKCG,protein_coding,-1.166222575,0.003981955,1.562195081,6.61E-05
ENSG00000149294,NCAM1,protein_coding,-0.356855647,0.003981955,9.394275876,6.59E-05
ENSG00000163694,RBM47,protein_coding,0.488575028,0.003981955,4.974552543,6.60E-05
ENSG00000184047,DIABLO,protein_coding,0.237543333,0.003981955,6.92090489,6.58E-05
ENSG00000253368,TRNP1,protein_coding,0.647078517,0.003990975,6.054638768,6.65E-05
ENSG00000137845,ADAM10,protein_coding,-0.255775778,0.003999812,8.18637156,6.69E-05
ENSG00000163394,CCKAR,protein_coding,0.948577507,0.004016055,6.457341829,6.76E-05
ENSG00000259726,CSPG4P11,transcribed_unprocessed_pseudogene,0.759257988,0.004016055,2.88781387,6.77E-05
ENSG00000178695,KCTD12,protein_coding,1.046502769,0.004019201,4.922251931,6.85E-05
ENSG00000204138,PHACTR4,protein_coding,0.30968016,0.004019201,5.793565973,6.85E-05
ENSG00000245080,MIR3150BHG,lncRNA,-0.984934938,0.004019201,0.634454352,6.83E-05
ENSG00000276547,PCDHGB5,protein_coding,-0.533943544,0.004030713,4.018342267,6.90E-05
ENSG00000170955,CAVIN3,protein_coding,0.435222557,0.004033117,4.882262621,6.93E-05
ENSG00000100979,PLTP,protein_coding,-0.53530508,0.004049888,6.399460998,7.01E-05
ENSG00000176046,NUPR1,protein_coding,0.686054164,0.004049888,5.222925551,7.01E-05
ENSG00000119318,RAD23B,protein_coding,-0.175547402,0.004080194,7.954529018,7.12E-05
ENSG00000259495,ENSG00000259495,lncRNA,0.563098755,0.004080194,3.755025239,7.11E-05
ENSG00000145675,PIK3R1,protein_coding,0.747430114,0.004091942,7.602057567,7.17E-05
ENSG00000073711,PPP2R3A,protein_coding,-0.24936317,0.004092133,5.499651939,7.37E-05
ENSG00000090339,ICAM1,protein_coding,1.440694176,0.004092133,4.61795905,7.38E-05
ENSG00000104953,TLE6,protein_coding,-0.595809664,0.004092133,2.240041186,7.26E-05
ENSG00000105568,PPP2R1A,protein_coding,0.200422118,0.004092133,7.323440608,7.20E-05
ENSG00000137714,FDX1,protein_coding,0.24166159,0.004092133,4.902312409,7.28E-05
ENSG00000140853,NLRC5,protein_coding,1.129997135,0.004092133,2.578055919,7.31E-05
ENSG00000163702,IL17RC,protein_coding,0.321317764,0.004092133,4.942903055,7.33E-05
ENSG00000198618,PPIAP22,processed_pseudogene,-0.348542769,0.004092133,4.404539352,7.23E-05
ENSG00000164347,GFM2,protein_coding,-0.28242702,0.004242387,5.891079856,7.68E-05
ENSG00000147044,CASK,protein_coding,-0.204228869,0.004244491,6.344848062,7.71E-05
ENSG00000223930,ENSG00000223930,lncRNA,-0.877242409,0.004251286,1.081331476,7.75E-05
ENSG00000072041,SLC6A15,protein_coding,1.216809348,0.004260283,3.859050118,7.80E-05
ENSG00000103888,CEMIP,protein_coding,-1.088752862,0.004315299,5.110205248,7.92E-05
ENSG00000162458,FBLIM1,protein_coding,1.915354868,0.004364706,3.917097489,8.04E-05
ENSG00000198774,RASSF9,protein_coding,0.682500489,0.004368104,3.138104869,8.08E-05
ENSG00000105971,CAV2,protein_coding,1.072317238,0.004399432,5.290397753,8.17E-05
ENSG00000198934,MAGEE1,protein_coding,-0.240866779,0.00445135,4.555787218,8.29E-05
ENSG00000137822,TUBGCP4,protein_coding,-0.336368726,0.004531852,5.999087486,8.50E-05
ENSG00000276855,ENSG00000276855,lncRNA,0.357000874,0.004531852,2.944576057,8.49E-05
ENSG00000136010,ALDH1L2,protein_coding,0.828596575,0.004589433,6.706118446,8.65E-05
ENSG00000166780,BMERB1,protein_coding,0.280262027,0.004589433,5.321393473,8.67E-05
ENSG00000100422,CERK,protein_coding,0.401461156,0.004610384,6.003218251,8.90E-05
ENSG00000131389,SLC6A6,protein_coding,0.793991132,0.004610384,4.754728562,8.83E-05
ENSG00000136770,DNAJC1,protein_coding,0.331381361,0.004610384,4.720519991,8.85E-05
ENSG00000158122,PRXL2C,protein_coding,0.354685621,0.004610384,3.48789655,8.89E-05
ENSG00000162139,NEU3,protein_coding,0.43569957,0.004610384,4.956769816,8.92E-05
ENSG00000168993,CPLX1,protein_coding,1.247092006,0.004610384,0.450660489,8.85E-05
ENSG00000197586,ENTPD6,protein_coding,0.423566823,0.004610384,4.58589474,8.75E-05
ENSG00000147065,MSN,protein_coding,0.260308614,0.004761742,9.001426898,9.24E-05
ENSG00000147535,PLPP5,protein_coding,0.565224985,0.004767409,2.910563424,9.29E-05
ENSG00000144031,ANKRD53,protein_coding,1.134645687,0.00478888,0.627115512,9.36E-05
